id_servidor,paso_temporal,temperatura_cpu,uso_cpu,uso_memoria,trafico_red,fallo
4,28,61.38,75.14,60.77,253.53,0
4,29,67.67,67.45,57.58,53.59,0
4,30,63.1,71.67,61.11,105.15,0
4,31,69.62,78.76,58.9,850.25,0
4,32,64.11,70.22,57.58,157.12,0
4,33,68.87,75.99,55.52,206.09,0
4,34,67.68,76.91,62.76,284.41,0
4,35,63.58,79.81,64.88,239.48,0
4,36,73.53,81.63,61.97,198.05,0
4,37,67.58,81.63,68.76,223.8,0
4,38,66.06,87.58,62.2,468.41,0
4,39,69.3,84.82,60.17,173.09,1
5,0,51.18,42.65,40.17,183.38,0
5,1,46.19,38.72,37.77,178.91,0
5,2,49.54,44.53,44.05,310.31,0
5,3,57.38,44.43,48.12,236.96,0
5,4,55.31,41.19,37.52,177.0,0
5,5,56.18,47.27,37.58,278.13,0
5,6,51.76,52.45,44.14,346.82,0
5,7,51.87,45.95,50.02,246.94,0
5,8,57.88,45.71,38.75,181.24,0
5,9,51.57,41.32,44.83,22.58,0
5,10,64.58,50.65,49.16,52.19,0
5,11,54.17,44.76,39.15,798.25,0
5,12,52.43,42.75,41.94,106.86,0
5,13,51.61,45.32,46.6,157.56,0
5,14,54.13,46.95,40.71,841.47,0
5,15,52.38,45.62,40.69,243.56,0
5,16,57.78,49.89,41.36,171.54,0
5,17,57.26,46.6,38.45,238.38,0
5,18,49.06,43.93,38.45,187.74,0
5,19,48.14,46.67,37.79,57.06,0
5,20,46.3,47.06,42.12,672.17,0
5,21,52.38,39.88,36.23,162.71,0
5,22,50.43,49.66,43.95,34.84,0
5,23,43.56,43.86,35.43,251.99,0
5,24,53.78,43.96,41.7,363.69,0
5,25,64.08,48.07,45.21,326.25,0
5,26,54.08,48.05,35.87,154.39,0
5,27,54.79,42.26,41.08,358.89,0
5,28,54.53,48.28,46.61,197.84,0
5,29,51.3,42.82,36.11,139.55,0
5,30,59.75,52.34,49.9,106.39,0
5,31,50.05,41.75,41.0,143.7,0
5,32,54.24,46.02,39.21,133.42,0
5,33,52.58,41.94,39.52,200.45,0
5,34,54.15,53.96,46.95,199.27,0
5,35,54.42,40.11,39.13,180.37,0
5,36,53.0,47.16,43.83,232.43,0
5,37,48.35,42.13,36.75,322.88,0
5,38,54.22,43.65,41.03,293.95,0
5,39,49.97,46.88,37.26,1.81,0
6,0,47.48,31.71,43.83,135.34,0
6,1,51.61,34.52,41.63,310.65,0
6,2,37.49,24.27,37.42,1000.0,0
6,3,37.5,27.27,42.45,365.19,0
6,4,39.88,30.4,46.01,121.34,0
6,5,48.81,25.57,39.82,45.65,0
6,6,44.44,31.84,43.59,196.91,0
6,7,57.95,34.18,49.24,32.21,0
6,8,42.14,26.94,41.16,218.78,0
6,9,46.28,29.43,50.07,162.29,0
6,10,54.31,35.1,45.9,124.08,0
6,11,56.8,36.47,38.85,11.36,0
6,12,55.09,32.26,45.25,241.63,0
6,13,51.39,31.65,43.74,116.08,0
6,14,47.99,25.86,44.14,39.61,0
6,15,48.5,30.71,44.29,164.67,0
6,16,49.61,31.5,41.96,176.7,0
6,17,42.88,28.44,37.0,392.67,0
6,18,41.1,26.9,39.66,379.35,0
6,19,43.1,24.15,36.3,125.15,0
6,20,41.59,22.33,36.37,107.73,0
6,21,40.07,21.49,39.85,236.25,0
6,22,49.32,31.59,47.97,60.19,0
6,23,49.56,29.87,42.99,216.22,0
6,24,44.93,27.34,36.6,271.93,0
6,25,50.77,27.95,42.29,327.23,0
6,26,41.29,30.12,45.75,167.98,0
6,27,44.39,28.62,39.11,155.56,0
6,28,40.13,23.91,38.56,74.64,0
6,29,39.68,32.93,43.11,80.77,0
6,30,45.7,30.49,39.37,152.82,0
6,31,45.47,30.34,44.04,224.08,0
6,32,53.06,32.63,42.53,289.63,0
6,33,46.49,26.02,41.34,83.62,0
6,34,43.6,34.13,40.67,359.12,0
6,35,52.63,28.72,39.72,147.47,0
6,36,51.99,32.83,45.4,177.44,0
6,37,49.15,32.21,41.51,90.33,0
6,38,42.65,25.12,45.25,110.91,0
6,39,42.55,31.29,41.0,286.09,0
7,0,54.09,44.97,49.02,167.47,0
7,1,53.44,42.36,43.11,159.74,0
7,2,54.45,43.28,36.91,188.41,0
7,3,54.59,39.45,40.18,319.43,0
7,4,49.9,35.34,44.62,68.72,0
7,5,49.75,40.69,42.67,208.6,0
7,6,55.0,44.15,41.0,297.02,0
7,7,59.31,42.84,42.05,240.13,0
7,8,51.5,43.55,46.81,648.54,0
7,9,45.81,38.5,43.57,853.66,0
7,10,54.44,39.15,41.27,144.39,0
7,11,50.91,42.15,42.19,808.97,0
7,12,40.8,38.03,40.26,101.51,0
7,13,52.94,38.15,38.56,39.68,0
7,14,48.91,41.41,48.4,241.34,0
7,15,51.54,43.26,42.84,344.84,0
7,16,51.46,39.42,46.19,163.51,0
7,17,49.12,35.56,45.46,294.34,0
7,18,51.98,37.27,44.5,373.47,0
7,19,49.13,41.03,41.48,337.79,0
7,20,52.9,40.98,44.21,376.8,0
7,21,49.9,41.18,42.89,269.06,0
7,22,54.41,42.3,40.49,189.05,0
7,23,52.97,40.24,43.61,12.24,0
7,24,47.25,41.28,39.12,150.47,0
7,25,54.76,40.04,46.37,78.81,0
7,26,50.47,44.81,43.07,440.51,0
7,27,56.37,45.95,45.78,158.89,0
7,28,49.78,35.46,41.33,194.78,0
7,29,57.38,39.19,41.22,246.18,0
7,30,49.67,40.35,44.53,185.23,0
7,31,48.61,39.15,40.49,383.41,0
7,32,53.72,47.39,48.64,105.28,0
7,33,49.7,41.11,38.5,203.35,0
7,34,52.22,36.99,41.5,90.9,0
7,35,45.13,42.6,50.01,21.6,0
7,36,46.78,41.3,39.72,106.59,0
7,37,46.79,41.43,40.84,175.56,0
7,38,57.63,47.45,47.48,128.48,0
7,39,57.99,41.62,43.76,96.91,0
8,0,34.66,16.47,28.92,251.23,0
8,1,46.52,27.24,31.98,172.85,0
8,2,42.89,27.73,30.74,258.71,0
8,3,45.13,29.45,32.6,203.37,0
8,4,54.62,26.19,31.2,177.75,0
8,5,38.72,27.69,30.94,133.38,0
8,6,47.58,31.67,33.1,314.89,0
8,7,43.68,21.32,34.58,293.7,0
8,8,45.79,20.53,30.79,87.25,0
8,9,41.56,19.93,27.7,228.85,0
8,10,43.92,23.24,32.46,63.4,0
8,11,44.25,30.04,32.12,14.45,0
8,12,45.23,26.42,35.46,104.79,0
8,13,42.71,26.26,32.74,283.49,0
8,14,42.32,17.03,27.01,294.38,0
8,15,40.43,21.53,30.87,241.57,0
8,16,41.31,16.96,22.15,267.01,0
8,17,45.22,28.99,29.03,241.94,0
8,18,50.6,30.65,29.56,103.02,0
8,19,44.41,27.42,32.52,231.83,0
8,20,34.27,20.36,34.58,276.05,0
8,21,50.95,30.23,40.67,270.51,0
8,22,39.09,23.29,32.29,322.67,0
8,23,38.33,19.45,30.11,265.0,0
8,24,39.02,20.45,22.96,222.17,0
8,25,47.89,22.58,28.08,308.42,0
8,26,34.73,24.5,28.13,176.82,0
8,27,55.43,23.66,28.3,74.18,0
8,28,44.81,18.65,27.54,160.43,0
8,29,46.31,29.16,31.27,90.61,0
8,30,42.68,23.7,23.84,98.98,0
8,31,43.01,21.45,31.83,162.66,0
8,32,47.31,28.75,29.1,84.91,0
8,33,43.58,19.57,29.3,143.04,0
8,34,42.41,17.79,34.55,47.23,0
8,35,45.88,29.4,29.9,205.6,0
8,36,45.87,31.87,25.7,180.14,0
8,37,41.73,22.46,28.87,81.95,0
8,38,42.32,24.12,34.19,259.11,0
8,39,45.61,19.72,35.04,292.51,0
9,0,54.97,45.61,49.53,266.37,0
9,1,58.61,47.92,49.77,24.81,0
9,2,60.86,49.0,51.19,65.23,0
9,3,49.5,46.86,51.96,236.69,0
9,4,45.33,36.03,41.39,358.09,0
9,5,48.79,47.43,54.09,222.67,0
9,6,50.2,41.6,50.15,142.43,0
9,7,55.27,46.53,52.38,179.91,0
9,8,55.15,41.75,49.3,29.95,0
9,9,50.88,41.7,47.9,252.54,0
9,10,54.78,52.3,54.83,285.88,0
9,11,53.81,46.08,51.76,125.75,0
9,12,49.72,45.78,48.5,123.59,0
9,13,63.03,49.29,49.36,211.91,0
9,14,46.67,45.88,50.05,127.59,0
9,15,58.4,55.78,59.28,172.06,0
9,16,61.38,46.27,45.8,431.97,0
9,17,54.49,48.82,46.2,150.36,0
9,18,54.81,51.25,52.67,137.0,0
9,19,55.31,53.77,53.44,102.29,0
9,20,51.7,44.4,49.62,269.3,0
9,21,58.51,45.69,50.44,158.25,0
9,22,47.29,52.46,51.94,102.08,0
9,23,61.41,50.6,56.76,338.56,0
9,24,50.07,51.66,47.04,350.35,0
9,25,50.2,41.89,45.19,107.95,0
9,26,54.92,53.56,52.83,43.98,0
9,27,54.74,44.32,43.59,300.9,0
9,28,47.75,48.13,50.15,97.84,0
9,29,55.36,46.77,55.6,274.88,0
9,30,60.27,43.85,48.87,56.41,0
9,31,45.74,41.71,48.6,287.11,0
9,32,51.34,40.39,43.09,34.66,0
9,33,51.36,47.84,48.56,267.69,0
9,34,52.68,41.26,46.4,181.71,0
9,35,51.78,42.83,47.29,482.5,0
9,36,50.82,46.49,54.22,131.16,0
9,37,50.88,36.81,47.47,262.36,0
9,38,62.44,50.48,48.12,711.33,0
9,39,48.59,37.72,46.86,250.13,0
10,0,60.21,48.16,43.71,76.27,0
10,1,53.88,52.9,48.21,163.09,0
10,2,49.37,43.34,41.15,217.98,0
10,3,57.55,40.74,40.32,202.76,0
10,4,47.93,44.26,46.49,12.66,0
10,5,46.69,46.38,48.87,127.32,0
10,6,48.15,42.32,42.23,381.3,0
10,7,53.09,51.61,51.1,120.91,0
10,8,46.27,46.22,49.8,181.9,0
10,9,53.66,48.21,53.41,169.59,0
10,10,58.72,49.84,47.99,368.19,0
10,11,49.79,49.87,45.66,334.84,0
10,12,56.53,52.57,45.68,878.16,0
10,13,55.58,47.82,43.21,63.21,0
10,14,54.28,49.16,51.58,223.1,0
10,15,54.88,48.13,41.99,248.15,0
10,16,58.3,55.45,54.3,96.17,0
10,17,55.43,58.01,48.57,75.54,0
10,18,64.65,57.95,49.15,384.6,0
10,19,66.46,64.07,53.66,143.9,0
10,20,63.73,58.63,49.39,373.8,0
10,21,64.87,62.63,56.59,299.65,0
10,22,51.88,56.92,56.93,228.95,0
10,23,63.81,61.1,50.65,234.3,0
10,24,65.35,66.81,53.97,11.95,0
10,25,57.51,68.82,55.76,204.81,0
10,26,61.35,65.67,56.67,350.04,0
10,27,64.39,68.01,55.43,261.76,0
10,28,67.96,63.7,58.57,198.52,0
10,29,67.02,69.83,60.54,385.43,0
10,30,63.65,76.33,55.77,157.8,0
10,31,74.02,76.6,61.52,105.65,0
10,32,67.99,77.85,65.38,198.46,0
10,33,66.68,77.62,58.62,271.98,0
10,34,67.05,79.04,59.92,26.14,0
10,35,61.37,77.97,58.68,214.18,0
10,36,70.68,85.04,61.92,277.24,0
10,37,73.35,85.57,58.33,147.64,0
10,38,70.72,87.52,60.33,312.84,0
10,39,72.84,85.13,63.89,256.94,1
11,0,43.27,23.78,38.81,251.67,0
11,1,52.44,32.17,46.8,66.2,0
11,2,47.31,29.73,45.28,235.58,0
11,3,41.71,28.6,39.09,15.94,0
11,4,50.85,28.78,36.88,281.78,0
11,5,48.49,29.78,41.01,32.1,0
11,6,45.83,33.93,40.91,246.28,0
11,7,46.75,36.23,44.38,255.08,0
11,8,45.66,27.11,44.57,96.39,0
11,9,53.27,42.21,45.77,249.84,0
11,10,52.59,43.05,47.52,211.25,0
11,11,46.83,29.54,41.77,115.34,0
11,12,59.24,44.43,51.08,58.97,0
11,13,57.25,45.56,41.37,55.52,0
11,14,52.38,42.65,45.47,221.96,0
11,15,53.61,38.79,46.44,7.78,0
11,16,50.6,49.42,54.48,191.44,0
11,17,54.66,45.8,47.27,148.39,0
11,18,62.42,50.4,44.77,261.5,0
11,19,58.07,58.56,56.68,143.75,0
11,20,52.62,52.2,49.68,140.47,0
11,21,51.96,49.06,46.44,267.82,0
11,22,52.0,52.95,50.05,220.21,0
11,23,53.12,52.73,51.41,217.94,0
11,24,57.77,59.25,52.95,236.31,0
11,25,52.11,55.94,46.18,4.27,0
11,26,59.18,58.95,57.77,270.81,0
11,27,62.02,57.41,58.33,253.5,0
11,28,57.69,63.75,59.12,58.0,0
11,29,68.78,66.74,54.56,150.71,0
11,30,60.29,57.07,53.3,175.28,0
11,31,68.62,70.65,60.05,163.86,0
11,32,62.14,71.25,62.32,220.06,0
11,33,67.72,70.22,62.09,351.76,0
11,34,65.94,83.27,63.33,309.81,0
11,35,72.77,80.88,64.95,22.53,0
11,36,66.99,74.57,63.35,254.65,0
11,37,72.97,84.25,71.0,339.47,0
11,38,67.7,87.83,70.13,226.42,0
11,39,67.69,85.36,69.3,310.92,1
12,0,56.87,58.84,58.91,196.95,0
12,1,59.98,53.59,54.84,75.67,0
12,2,52.12,53.34,62.56,272.18,0
12,3,56.86,52.13,55.22,205.85,0
12,4,62.37,55.44,63.82,240.99,0
12,5,55.39,55.3,60.39,651.15,0
12,6,52.77,51.4,57.54,70.09,0
12,7,55.62,53.36,58.05,386.96,0
12,8,60.38,51.43,57.26,903.73,0
12,9,56.35,51.25,49.52,214.48,0
12,10,51.56,47.15,53.12,174.54,0
12,11,58.38,53.14,59.52,129.09,0
12,12,49.33,47.26,53.92,111.62,0
12,13,58.75,52.22,51.68,219.54,0
12,14,57.38,51.62,55.87,2.06,0
12,15,57.58,58.28,64.67,270.07,0
12,16,51.65,50.01,59.44,130.06,0
12,17,51.92,51.02,55.58,44.39,0
12,18,58.31,52.54,59.6,126.0,0
12,19,60.72,51.75,54.9,330.86,0
12,20,56.84,59.55,53.99,115.76,0
12,21,56.61,49.51,52.05,223.01,0
12,22,47.83,52.55,61.62,92.29,0
12,23,55.14,55.4,56.84,270.95,0
12,24,58.37,57.59,57.93,262.26,0
12,25,52.53,52.55,55.48,401.83,0
12,26,49.6,46.4,59.98,158.93,0
12,27,53.92,53.47,62.25,260.24,0
12,28,60.53,59.48,66.91,191.77,0
12,29,56.64,55.2,57.13,335.5,0
12,30,48.35,55.01,58.55,93.74,0
12,31,46.43,49.82,50.23,269.4,0
12,32,52.3,49.41,59.93,156.64,0
12,33,58.74,54.14,53.33,172.3,0
12,34,43.26,48.36,55.3,191.01,0
12,35,56.31,57.19,54.94,210.27,0
12,36,53.21,50.68,53.68,166.05,0
12,37,62.38,53.97,54.34,205.77,0
12,38,51.86,46.53,51.75,369.37,0
12,39,57.68,52.49,54.66,298.25,0
13,0,36.17,22.25,29.44,92.45,0
13,1,43.59,22.4,34.4,223.37,0
13,2,48.72,21.09,35.71,24.82,0
13,3,39.77,16.73,34.61,248.69,0
13,4,40.38,16.27,31.23,234.07,0
13,5,43.97,19.99,34.71,44.38,0
13,6,36.57,20.97,26.82,40.59,0
13,7,46.93,17.66,31.37,146.02,0
13,8,42.96,22.07,37.02,143.9,0
13,9,51.73,28.7,35.27,34.86,0
13,10,35.23,13.4,31.82,226.68,0
13,11,49.72,22.71,37.29,210.18,0
13,12,44.35,20.11,33.52,156.69,0
13,13,44.42,22.18,36.14,89.31,0
13,14,41.52,18.66,30.81,305.84,0
13,15,40.11,19.79,33.82,378.65,0
13,16,46.41,20.9,37.01,121.97,0
13,17,41.38,19.17,34.74,106.54,0
13,18,30.71,14.3,30.09,238.94,0
13,19,36.47,19.44,35.09,137.04,0
13,20,38.02,14.71,34.57,163.27,0
13,21,43.82,22.99,29.18,268.76,0
13,22,37.72,12.92,35.23,49.12,0
13,23,48.14,24.49,35.51,338.2,0
13,24,34.36,22.1,36.94,188.72,0
13,25,42.75,22.11,39.5,130.62,0
13,26,30.12,11.72,26.34,169.29,0
13,27,43.81,19.06,31.83,175.49,0
13,28,43.12,24.99,35.89,27.74,0
13,29,42.1,18.3,31.25,359.39,0
13,30,35.93,16.07,38.55,958.73,0
13,31,45.32,17.83,30.79,233.16,0
13,32,45.42,20.11,32.81,294.19,0
13,33,42.14,16.97,33.91,57.46,0
13,34,43.13,25.31,33.02,236.82,0
13,35,43.57,20.12,33.34,147.88,0
13,36,37.52,18.16,34.81,281.61,0
13,37,42.4,15.17,31.33,75.27,0
13,38,48.86,22.32,35.33,168.11,0
13,39,46.51,22.23,33.85,107.66,0
14,0,38.55,32.95,36.82,5.88,0
14,1,48.11,27.4,43.33,210.96,0
14,2,40.77,32.64,41.62,312.47,0
14,3,51.22,28.71,42.97,237.02,0
14,4,43.78,28.48,41.78,179.71,0
14,5,46.73,33.87,40.33,109.29,0
14,6,45.08,33.9,43.51,48.94,0
14,7,47.89,37.05,38.04,280.17,0
14,8,54.6,36.79,46.05,289.65,0
14,9,37.67,33.96,43.77,5.49,0
14,10,47.88,23.41,40.15,370.78,0
14,11,50.65,37.6,47.92,248.89,0
14,12,42.8,33.96,44.0,347.95,0
14,13,40.22,27.23,40.25,18.94,0
14,14,53.98,33.21,39.54,16.1,0
14,15,40.24,26.14,36.92,162.12,0
14,16,42.46,32.77,46.17,240.33,0
14,17,48.06,25.03,43.51,395.56,0
14,18,45.8,27.06,38.9,264.73,0
14,19,43.49,33.13,42.57,150.88,0
14,20,48.78,34.58,40.08,56.84,0
14,21,42.43,31.59,45.59,327.6,0
14,22,49.81,29.15,42.82,64.24,0
14,23,46.29,21.83,43.74,375.42,0
14,24,47.68,29.46,37.86,145.87,0
14,25,48.36,32.43,40.85,370.87,0
14,26,52.4,29.03,41.33,261.47,0
14,27,45.89,30.2,43.23,163.56,0
14,28,40.87,29.55,40.09,117.67,0
14,29,47.14,29.01,37.68,139.09,0
14,30,54.42,30.6,44.18,231.4,0
14,31,41.37,29.2,43.03,189.26,0
14,32,47.14,36.07,40.71,108.74,0
14,33,43.54,21.47,41.64,160.12,0
14,34,44.71,28.11,44.02,189.43,0
14,35,40.4,26.81,40.01,75.45,0
14,36,50.83,31.17,41.79,234.98,0
14,37,55.36,30.6,43.1,62.43,0
14,38,49.7,36.78,41.21,41.6,0
14,39,45.91,38.1,44.75,22.48,0
15,0,46.92,36.79,45.59,345.18,0
15,1,45.06,40.32,42.19,217.58,0
15,2,51.72,40.06,45.12,262.45,0
15,3,47.05,33.25,43.85,355.98,0
15,4,52.66,40.57,45.21,46.61,0
15,5,46.58,36.34,44.09,175.7,0
15,6,55.49,40.45,46.36,116.23,0
15,7,45.87,37.78,45.19,8.14,0
15,8,52.37,29.4,41.86,779.03,0
15,9,44.55,42.48,44.07,481.39,0
15,10,50.16,35.7,42.15,40.81,0
15,11,51.29,37.8,41.22,176.13,0
15,12,42.67,30.11,45.23,256.87,0
15,13,50.95,37.51,38.39,677.5,0
15,14,55.47,39.9,50.22,166.42,0
15,15,43.02,43.23,52.48,24.09,0
15,16,52.91,41.09,45.95,207.93,0
15,17,39.37,37.71,36.83,89.19,0
15,18,41.62,29.31,40.45,82.79,0
15,19,55.09,36.02,44.45,323.35,0
15,20,44.91,33.12,40.02,295.01,0
15,21,44.06,36.43,43.15,186.2,0
15,22,45.3,30.62,47.29,207.49,0
15,23,56.21,34.65,46.24,308.92,0
15,24,40.05,33.42,40.44,206.92,0
15,25,43.11,33.3,38.17,836.57,0
15,26,53.32,33.34,42.38,144.3,0
15,27,55.51,34.95,43.48,337.44,0
15,28,48.44,36.63,46.58,218.49,0
15,29,38.77,25.5,38.16,203.29,0
15,30,52.34,25.98,41.84,27.59,0
15,31,54.08,34.14,50.2,214.43,0
