temperatura_cpu,uso_cpu,uso_memoria,trafico_red,fallo
63.45,61.06,87.77,315.98,0
64.28,63.01,53.75,432.87,0
65.25,76.9,56.1,200.81,0
57.98,67.57,70.84,74.78,0
65.27,80.46,55.73,388.11,1
41.68,32.83,26.22,207.29,0
30.0,10.32,15.24,473.43,0
73.65,78.67,68.93,306.4,1
42.08,42.4,26.76,196.12,0
55.11,30.0,56.91,67.78,0
67.11,82.07,89.4,184.34,1
46.59,34.73,65.17,340.59,0
41.19,36.45,25.72,26.22,0
60.52,57.83,44.71,139.24,0
62.8,69.8,53.81,42.17,0
56.52,52.64,62.82,43.85,0
64.45,79.1,87.39,108.31,1
46.72,26.77,44.27,159.39,0
61.97,74.11,69.12,253.0,0
70.31,82.43,94.33,305.26,1
61.32,58.72,50.03,407.52,0
68.01,62.51,51.46,440.48,0
48.53,27.18,25.91,377.79,0
76.63,96.04,77.82,143.09,1
48.93,36.89,45.67,235.07,0
55.51,47.71,68.99,884.44,1
74.16,83.32,72.72,742.36,1
44.19,34.58,53.75,175.9,0
61.9,55.19,58.06,28.66,0
40.7,29.1,37.2,417.79,0
65.56,68.0,73.61,456.21,0
72.15,81.4,46.71,86.29,1
41.42,27.78,41.01,278.11,0
31.9,16.54,47.07,706.04,0
34.38,8.06,28.12,188.11,0
35.18,35.5,66.21,120.25,0
54.96,51.86,41.59,105.93,0
66.44,88.45,67.09,228.52,0
74.71,59.0,44.11,72.3,0
63.87,57.77,75.97,121.56,0
66.79,74.85,59.37,802.34,0
66.72,60.99,62.13,31.17,0
54.46,41.17,63.92,142.96,0
42.68,35.86,49.54,243.22,0
63.11,74.43,65.8,173.06,0
69.96,71.32,72.55,85.42,0
36.88,21.05,40.33,345.2,0
60.52,57.7,44.14,222.41,0
53.4,39.19,57.35,106.48,0
67.92,80.91,47.28,328.59,0
45.52,27.73,33.31,715.18,1
70.18,73.97,75.55,68.77,0
76.74,88.74,65.83,288.17,1
53.0,40.77,57.95,728.47,1
54.36,48.75,45.51,463.68,0
61.79,58.38,51.98,427.41,0
47.77,56.27,67.4,282.03,1
48.41,19.63,36.73,112.67,0
49.96,40.49,29.79,39.83,0
63.25,75.91,58.88,185.91,1
57.98,49.95,58.19,442.4,0
73.7,84.44,49.87,54.58,0
59.61,70.62,83.16,253.12,1
51.96,42.66,68.62,229.85,0
49.32,37.24,41.94,50.88,0
43.08,24.39,40.5,109.33,0
51.61,24.99,42.86,30.04,0
54.76,49.7,62.54,318.96,0
52.92,46.89,57.27,325.58,0
50.54,47.69,66.14,163.39,0
60.79,71.55,70.5,73.59,0
59.81,56.2,62.24,228.19,0
63.01,72.52,42.11,366.07,0
56.27,54.8,65.23,22.23,0
55.68,49.32,53.5,516.9,0
56.29,52.1,58.1,163.43,0
50.92,39.66,54.35,182.18,0
71.67,84.82,61.59,440.4,0
53.61,40.2,37.92,191.63,0
73.55,61.62,80.52,184.23,1
55.27,37.23,41.9,62.98,0
68.68,83.67,90.08,113.44,0
49.46,24.74,40.29,94.08,0
41.41,31.9,44.64,64.85,0
61.09,69.39,67.31,112.04,0
61.63,56.74,71.72,165.26,0
53.71,39.84,61.06,790.55,0
65.49,66.27,38.98,297.9,0
51.44,48.68,54.86,1000.0,0
48.23,41.63,51.36,39.35,0
52.21,42.52,63.66,428.71,0
66.18,77.05,70.09,647.82,1
66.83,66.07,63.49,277.26,0
60.2,64.33,41.8,446.62,0
55.11,53.58,39.6,194.92,0
46.6,49.4,55.59,202.1,0
52.8,35.69,53.01,415.72,0
70.64,80.49,45.39,155.91,1
31.36,23.46,48.87,360.98,0
42.65,18.32,36.42,188.89,0
59.94,65.1,62.86,225.55,0
55.74,43.18,42.97,223.45,0
69.05,81.68,44.41,144.53,0
59.44,68.4,57.76,119.78,0
63.42,49.51,48.58,102.11,0
71.71,69.24,48.48,5.66,0
65.99,75.92,55.96,133.01,1
68.52,75.34,54.72,160.2,0
51.54,47.46,78.73,261.13,0
32.9,20.5,30.9,186.16,0
42.17,7.78,50.19,361.61,0
63.7,77.57,69.87,354.86,1
62.14,51.68,51.69,401.79,0
50.51,32.66,58.19,729.89,0
59.96,57.67,67.7,123.35,0
59.38,59.96,61.3,5.12,0
62.4,58.47,53.7,396.26,0
46.03,40.61,58.4,26.83,0
69.15,66.26,51.07,64.83,0
45.35,27.46,32.57,233.86,0
59.07,42.61,59.44,153.67,0
45.77,31.27,56.0,417.1,0
64.23,68.52,53.79,84.87,0
49.35,34.85,36.48,204.36,0
44.6,21.13,72.44,77.91,0
68.36,59.36,39.4,384.82,0
57.19,59.52,73.8,51.37,0
43.09,25.49,45.94,573.16,0
64.86,71.64,65.86,182.39,0
44.36,52.04,71.49,156.89,0
48.06,40.93,56.65,195.25,0
35.05,11.97,53.83,38.89,0
75.24,65.34,58.92,298.68,0
59.79,57.59,52.98,138.72,0
61.32,58.37,78.68,153.1,0
56.44,69.08,61.54,392.77,0
39.16,16.25,41.85,57.96,0
56.68,43.47,59.74,170.64,0
80.97,79.11,59.92,183.59,0
41.07,27.15,64.84,220.71,0
47.08,52.51,58.94,116.57,0
38.09,21.66,27.78,152.15,0
57.93,64.76,48.97,477.38,0
52.05,51.86,62.86,274.92,0
66.88,65.97,72.78,83.14,0
61.97,61.42,37.64,297.83,0
63.74,81.27,69.32,206.85,1
78.29,85.24,81.81,311.29,1
50.34,19.29,52.96,169.4,0
50.31,58.33,56.1,78.83,0
75.87,82.57,76.63,50.28,1
54.77,51.34,50.12,372.85,0
68.56,89.71,77.86,302.62,0
45.68,45.56,46.61,253.51,0
61.36,68.74,76.81,297.33,0
69.93,88.14,72.53,385.5,0
45.53,27.82,49.43,52.46,0
65.25,48.96,37.46,212.5,0
69.13,86.23,77.53,71.61,0
56.59,68.75,78.25,140.9,0
58.45,61.08,59.39,249.49,0
70.94,73.33,59.38,147.21,0
58.44,60.18,45.9,464.36,0
64.85,64.33,38.54,156.34,0
60.54,60.19,61.09,84.47,0
51.89,42.58,27.85,204.8,0
65.42,55.4,42.22,44.61,0
68.79,90.51,57.79,68.53,1
43.61,36.55,35.98,1000.0,1
64.44,80.4,76.16,348.54,1
59.56,56.16,41.96,223.56,0
64.83,70.79,79.04,291.55,0
69.74,74.33,60.58,513.26,0
62.12,66.31,67.88,191.24,0
51.35,44.19,33.61,69.97,0
72.1,83.59,48.66,280.36,0
73.56,71.9,60.01,325.29,0
53.28,58.89,50.2,340.05,0
55.34,60.73,45.34,1000.0,1
49.87,38.41,57.83,349.24,0
73.15,67.36,58.92,278.01,0
64.93,83.24,50.68,295.38,0
46.55,31.73,46.5,261.61,0
43.08,33.63,37.25,38.4,0
64.79,66.95,46.7,57.77,0
37.52,34.45,38.15,42.01,0
49.92,50.23,62.38,322.97,0
61.78,50.84,56.41,134.35,0
48.55,35.88,36.69,220.43,0
63.25,76.04,32.92,1000.0,1
63.36,68.68,58.41,362.55,0
60.09,61.75,53.89,125.94,0
57.23,48.74,63.77,309.53,0
51.97,65.97,59.09,208.42,0
33.11,13.67,41.69,101.63,0
39.61,26.92,58.97,821.28,0
60.83,55.83,72.17,152.97,0
55.69,51.57,10.0,3.25,0
68.83,64.41,63.03,236.68,0
60.61,53.18,51.58,526.49,0
48.11,38.79,43.15,976.31,1
68.01,78.82,35.55,103.94,0
58.67,43.92,43.89,243.7,0
59.63,44.48,44.78,243.68,0
73.12,90.44,58.42,50.77,1
36.99,21.56,41.11,18.37,0
42.57,45.82,42.65,334.65,0
48.3,58.27,37.23,215.74,0
54.56,43.91,46.75,128.41,0
51.49,37.47,37.71,290.38,0
51.19,49.07,48.45,517.6,0
56.57,39.28,40.72,1000.0,0
65.39,74.83,44.77,243.7,0
33.72,10.14,29.51,196.77,0
65.27,59.59,53.6,739.66,1
57.14,43.36,36.41,322.87,0
58.49,58.16,48.11,171.11,0
64.44,64.89,69.2,274.99,0
48.87,29.67,48.72,425.09,0
69.52,57.93,54.95,311.71,0
40.21,19.28,37.0,8.95,0
37.19,24.1,26.09,0.17,0
66.43,68.05,72.33,387.99,0
53.42,45.9,77.4,183.17,0
70.07,81.54,62.14,239.13,1
56.86,54.37,73.05,81.22,0
43.76,42.85,40.67,292.41,0
55.54,48.34,40.18,483.18,0
50.13,43.32,61.74,222.74,0
48.9,40.09,55.21,297.18,0
42.51,27.17,50.23,386.82,0
62.6,66.95,50.65,452.02,0
62.14,62.69,31.3,98.11,0
67.6,77.72,82.9,262.05,1
62.43,53.59,56.93,391.27,0
70.8,76.12,68.08,433.11,0
52.07,44.42,53.25,136.45,0
49.19,48.63,64.17,99.48,0
71.98,80.6,78.11,777.34,1
63.31,71.5,57.23,151.89,0
63.75,70.87,58.21,158.2,0
36.63,24.39,41.87,261.79,0
60.95,58.44,73.07,941.56,0
79.48,75.02,69.66,433.87,1
59.76,65.84,69.74,139.3,0
67.42,70.23,63.26,109.82,0
75.03,80.0,57.3,24.52,0
42.24,27.96,48.51,388.59,0
39.49,42.64,30.22,5.99,0
73.06,81.7,64.27,268.61,1
61.39,63.03,45.68,304.19,0
39.67,13.28,35.89,237.47,0
39.86,16.5,46.22,3.69,0
59.27,46.67,43.15,143.32,0
58.67,59.03,73.51,484.18,0
59.56,36.33,54.29,143.36,0
57.84,48.58,67.63,124.48,0
52.04,32.58,47.82,87.52,0
56.52,53.24,65.9,85.18,0
40.64,15.41,27.86,104.73,0
54.79,67.91,60.67,99.18,0
55.26,56.84,39.82,92.77,0
66.81,63.95,78.24,597.54,1
39.34,16.67,31.93,142.82,0
45.98,42.61,50.43,342.62,0
67.46,84.53,77.74,31.83,0
50.52,47.8,44.23,102.95,0
65.21,72.62,52.02,122.05,0
52.18,52.94,52.42,199.99,0
55.86,36.39,59.46,85.58,0
76.37,94.2,69.69,511.31,1
55.19,65.58,66.17,287.48,0
80.12,87.91,79.4,346.16,1
45.82,30.54,39.59,235.79,0
44.7,22.12,48.26,410.65,0
64.08,66.41,72.72,28.53,0
60.51,57.43,66.84,116.38,0
53.49,50.45,44.39,77.51,0
64.9,67.92,70.55,174.29,0
52.06,45.22,56.08,437.56,1
49.35,33.78,36.83,1000.0,0
44.64,29.51,35.39,343.19,0
56.29,55.96,42.17,185.31,0
39.11,31.35,32.0,368.01,0
68.73,79.9,78.79,422.47,1
64.4,67.99,80.16,376.48,0
74.34,71.96,59.58,179.95,0
72.29,82.37,64.1,183.95,1
57.32,62.91,50.71,101.26,0
45.27,39.87,44.39,163.22,0
45.35,26.11,59.6,80.11,0
53.07,53.9,61.45,190.34,0
41.88,27.66,43.82,196.53,0
43.07,32.19,37.94,70.46,0
42.19,25.72,42.63,602.81,0
66.74,67.53,52.01,770.87,0
41.74,42.79,37.44,393.87,0
62.63,52.51,53.46,380.09,0
45.38,31.31,30.87,491.45,0
46.54,38.51,42.09,63.95,0
68.09,68.82,56.51,118.21,0
40.39,20.49,47.81,72.11,0
58.23,68.4,49.54,42.64,0
59.23,75.74,73.36,48.54,0
65.9,66.13,66.04,814.15,0
51.49,34.12,40.54,185.88,0
49.93,43.48,42.18,676.25,0
53.09,31.48,51.91,275.49,0
52.87,44.98,59.51,345.54,0
65.78,59.0,67.99,221.31,0
56.13,62.86,57.79,3.08,0
54.55,60.76,45.24,244.51,0
47.46,39.2,36.92,42.13,0
45.1,32.82,22.1,172.93,0
74.19,79.2,51.42,297.2,1
62.66,63.45,72.05,111.91,0
63.93,77.67,59.24,228.93,1
63.63,68.65,54.14,109.7,0
39.34,20.62,33.04,34.18,0
63.71,77.66,63.62,273.18,0
53.71,48.06,64.36,356.68,0
69.75,84.15,48.03,356.31,0
47.03,40.99,49.12,163.82,0
73.3,98.22,70.97,126.37,1
61.44,55.16,51.45,213.25,0
56.81,49.34,39.45,390.4,0
69.35,70.93,76.44,2.78,0
41.1,22.88,37.92,467.14,0
40.14,29.53,67.23,108.84,0
59.76,66.59,56.35,259.55,0
63.88,58.14,32.93,324.46,0
35.74,25.53,15.49,420.23,0
77.12,82.38,54.62,268.85,0
54.89,61.83,77.26,151.21,0
59.25,50.77,58.97,225.21,0
37.96,24.05,27.53,97.64,0
59.76,66.82,71.53,98.45,0
30.84,19.83,34.3,163.7,0
73.44,69.93,35.71,273.67,0
49.52,31.83,18.6,353.86,0
79.21,95.74,84.43,127.13,1
48.2,40.58,62.04,421.58,0
50.74,50.86,31.4,901.92,0
64.36,61.91,57.96,1000.0,1
43.32,37.68,40.55,311.89,0
67.54,79.08,77.63,208.01,0
51.9,56.86,62.69,186.41,0
39.61,15.21,30.38,433.57,0
32.09,21.02,42.67,54.85,0
62.09,81.5,72.75,206.36,1
48.78,45.83,43.85,75.17,0
58.19,50.26,44.6,69.63,0
50.23,45.42,44.37,192.03,0
53.82,36.74,40.71,121.12,0
62.7,50.42,47.2,1000.0,0
51.1,44.87,34.87,161.99,0
67.68,93.64,62.54,370.27,0
58.78,47.72,47.4,207.75,0
38.21,30.27,48.94,19.76,0
55.85,61.67,64.03,64.39,0
50.17,57.99,54.19,4.56,0
48.89,26.25,38.24,249.19,0
67.0,69.87,72.38,439.57,0
59.8,42.84,52.52,62.95,0
42.1,26.75,50.64,325.68,0
53.04,54.7,72.72,172.74,0
51.8,48.75,53.78,40.27,0
30.45,11.12,18.85,253.19,0
80.37,89.63,71.03,438.72,1
67.92,41.38,75.55,188.68,0
49.27,45.41,47.24,324.43,0
57.46,48.91,45.27,246.3,0
61.23,65.23,77.92,246.56,0
66.16,69.47,41.65,79.53,0
64.72,59.61,52.54,273.62,0
31.38,11.08,32.55,19.26,0
40.47,23.61,36.1,1000.0,0
68.08,65.36,68.58,405.88,0
57.78,50.52,48.97,470.59,0
57.38,51.61,26.31,43.66,0
63.45,62.84,46.42,266.26,0
62.98,60.74,38.92,94.21,0
70.51,71.14,76.05,221.08,1
59.3,51.15,46.59,488.32,0
54.35,49.14,45.81,331.66,0
55.86,48.04,61.4,102.13,0
58.78,58.95,52.43,93.68,0
61.28,71.77,41.55,202.54,0
56.39,53.59,59.25,212.75,0
71.04,86.12,69.24,219.93,1
44.29,45.18,63.06,23.38,0
77.74,91.02,82.47,499.87,1
48.83,26.32,48.78,514.68,0
52.41,38.45,37.94,271.9,0
43.66,15.74,26.74,69.48,0
42.23,24.15,49.26,105.95,0
59.6,65.58,68.68,58.71,0
60.68,52.02,65.4,45.18,0
58.32,68.73,53.47,104.89,0
47.88,46.41,55.3,263.35,0
44.65,22.63,39.42,219.27,0
54.12,43.51,59.32,428.63,0
73.58,80.28,70.77,28.48,0
41.56,39.36,51.81,67.87,0
56.21,53.7,41.19,756.75,0
54.49,61.17,32.39,1000.0,0
40.91,10.08,42.43,440.1,0
61.04,48.63,60.25,129.13,0
57.79,50.57,38.44,404.81,0
49.37,43.83,31.23,304.06,0
47.75,42.39,44.17,330.02,0
61.21,67.97,54.3,287.89,0
39.24,24.89,26.87,470.48,0
69.18,82.55,59.99,169.97,0
65.95,81.96,65.95,303.02,0
59.96,75.8,47.88,476.82,0
40.72,14.81,46.57,46.5,0
51.09,36.52,43.85,167.73,0
74.13,73.12,74.4,286.22,0
61.41,68.64,65.62,71.19,0
55.91,72.53,64.26,64.89,0
56.13,43.6,49.15,504.5,0
60.77,52.46,46.03,78.19,0
62.45,53.78,60.36,145.04,0
54.01,31.85,52.9,232.39,0
64.51,54.54,50.97,264.31,0
50.7,51.27,60.99,118.21,1
54.87,32.89,30.53,168.81,0
68.87,83.71,89.09,656.38,1
58.43,48.77,50.81,116.94,0
50.48,37.35,46.61,304.3,0
56.16,63.1,58.92,335.97,0
57.52,42.87,66.51,352.72,0
58.94,63.53,61.77,199.27,0
73.18,69.33,71.26,170.49,0
61.37,72.15,51.22,3.84,0
54.28,59.36,61.54,146.62,0
70.52,90.93,64.29,951.98,1
81.76,91.92,76.85,363.22,1
49.82,55.78,35.79,89.98,0
77.45,88.88,75.16,149.47,1
67.43,57.11,41.93,139.87,0
46.31,32.94,58.3,40.56,0
42.98,28.15,29.37,397.62,0
63.89,68.46,62.98,4.74,0
56.88,66.3,68.28,216.21,0
80.88,77.48,53.92,353.93,1
68.02,71.02,48.24,129.79,0
39.11,28.72,40.42,16.38,0
44.52,36.0,58.42,217.87,0
61.43,62.03,56.44,433.97,0
69.15,94.82,66.57,348.91,1
68.03,94.68,79.14,162.74,1
64.1,66.58,46.6,116.45,0
55.67,40.53,44.17,373.46,0
52.92,35.53,47.02,19.22,0
47.93,35.28,44.43,340.55,0
43.74,28.51,36.53,120.42,0
73.27,89.15,64.46,23.07,0
54.47,38.06,57.01,64.98,0
44.56,40.97,40.9,445.27,0
67.92,86.55,33.53,169.83,0
37.25,15.53,25.68,65.86,0
61.91,67.66,39.84,193.44,0
49.5,38.63,59.47,114.16,0
56.01,52.46,85.73,119.25,0
73.66,83.23,55.61,857.23,1
35.66,27.11,43.06,201.25,0
40.59,36.07,45.11,313.61,0
39.34,23.18,50.62,29.34,0
68.46,69.88,69.78,402.57,0
46.34,38.25,40.43,58.25,0
72.3,88.06,58.52,238.43,1
51.43,40.84,50.92,191.28,0
63.91,65.94,82.4,78.96,1
50.75,23.77,36.66,370.3,0
61.43,56.43,39.72,80.88,0
66.85,64.92,63.75,412.82,0
53.04,47.12,50.55,300.2,0
58.35,41.26,31.71,87.57,0
55.43,50.15,49.59,20.23,0
34.62,26.95,50.32,359.78,0
71.98,60.18,52.79,28.84,0
58.43,56.95,76.07,180.03,0
38.69,8.78,37.92,304.52,0
54.7,60.96,54.35,1000.0,1
70.2,59.16,53.58,169.57,0
58.76,66.79,62.21,90.55,0
49.81,42.9,57.52,308.31,0
52.42,61.01,56.31,82.14,0
43.88,21.87,49.06,238.93,0
67.21,79.61,79.81,5.5,0
52.05,60.38,63.72,68.42,0
53.71,47.94,43.27,255.25,0
50.93,40.11,33.34,87.56,0
58.09,59.41,58.33,373.59,0
53.75,67.07,64.75,305.97,0
46.51,28.38,38.2,95.37,0
62.6,80.31,62.36,166.21,1
61.72,54.95,37.33,34.46,0
50.78,46.87,66.21,270.95,0
45.09,18.38,67.59,435.22,0
70.88,84.38,63.87,20.73,1
54.13,47.4,38.83,228.26,0
64.13,55.97,60.71,248.52,0
51.27,50.75,32.85,12.49,0
34.59,17.54,60.84,48.74,0
69.33,75.1,60.68,71.25,0
50.89,55.34,56.19,284.13,0
44.97,36.87,36.85,146.05,0
50.47,57.31,68.07,91.16,0
55.4,38.34,42.82,509.65,0
50.16,50.38,52.79,70.3,0
58.85,65.47,62.11,939.54,0
42.67,37.23,68.81,123.11,0
54.43,52.95,50.89,121.89,0
69.36,82.77,100.0,54.78,1
53.05,36.78,56.88,77.0,0
42.23,36.61,49.17,118.87,0
50.04,45.75,42.12,93.54,0
47.8,18.87,50.02,237.51,0
77.55,87.71,62.63,331.66,1
42.15,29.44,41.61,183.03,0
72.87,89.38,57.59,248.51,1
53.07,24.42,40.97,434.15,0
50.19,52.52,78.8,95.3,0
49.85,59.68,62.29,335.58,1
56.16,58.36,53.55,578.84,0
64.61,71.8,69.21,472.12,0
51.65,51.44,50.14,444.4,0
57.33,44.44,65.78,309.22,0
63.18,65.49,86.54,372.67,0
58.74,64.69,41.46,127.42,0
52.06,49.47,35.01,187.79,1
63.89,77.43,85.2,170.36,0
59.16,50.02,40.93,100.5,0
54.18,53.35,38.3,221.99,0
56.27,65.72,50.77,121.3,0
72.23,77.01,51.06,209.34,1
46.04,33.53,38.4,7.11,0
43.07,38.84,62.73,119.98,0
73.89,72.44,60.71,1000.0,1
68.54,72.8,45.86,229.24,0
65.19,71.64,74.39,400.21,0
45.56,31.79,39.37,109.16,0
55.34,53.79,49.68,162.76,0
40.2,21.1,44.25,232.24,0
42.85,26.57,50.07,170.8,0
64.66,77.4,63.14,9.14,0
72.6,89.38,81.39,285.03,1
58.79,64.86,41.91,52.16,0
57.09,52.11,59.24,198.44,1
50.17,39.77,62.27,119.57,0
35.6,15.43,31.82,102.71,0
73.0,90.06,63.35,181.06,1
68.73,73.94,54.2,284.2,0
36.83,35.04,33.91,14.69,0
63.22,61.58,73.37,66.32,0
36.31,22.69,53.33,464.64,0
55.41,55.89,65.72,494.78,0
51.16,72.4,56.1,277.21,0
59.02,52.6,54.5,391.95,0
55.44,59.01,46.47,140.76,0
45.79,35.42,51.56,298.0,0
71.49,84.86,59.73,290.46,1
56.69,75.09,76.57,58.76,0
53.73,46.56,56.33,229.48,0
53.52,39.73,48.86,155.7,0
71.23,83.38,60.0,255.18,1
59.2,63.41,60.25,119.74,0
56.03,51.8,56.78,18.23,1
42.32,23.25,38.85,202.59,0
54.04,39.66,34.55,324.59,0
75.1,80.05,46.69,324.61,1
35.95,13.05,34.19,66.43,0
40.5,15.96,20.67,227.37,0
47.54,41.03,45.75,303.29,0
54.98,45.43,45.42,220.55,0
71.33,80.5,42.28,329.7,1
50.55,42.14,57.16,11.58,0
64.06,64.06,50.82,28.25,0
62.53,66.32,42.6,288.4,0
61.85,65.41,69.14,147.76,0
61.86,74.49,63.3,1000.0,1
63.9,67.48,55.15,246.02,0
38.65,20.73,50.36,65.69,0
58.66,48.51,53.13,58.13,0
66.72,84.63,73.73,81.51,0
69.44,78.46,63.73,972.67,1
52.27,46.9,34.38,182.49,0
69.06,77.67,54.09,337.45,0
50.24,40.3,29.78,238.66,0
56.52,62.2,80.02,217.18,0
57.62,43.8,35.84,322.31,0
63.75,78.67,56.87,185.31,0
60.44,54.85,48.96,150.15,0
51.06,59.9,61.09,199.98,0
40.94,22.57,56.4,326.26,0
75.14,77.16,42.78,58.73,1
50.6,43.44,83.04,338.71,1
53.67,46.05,50.42,209.5,0
69.29,63.65,65.75,142.39,0
68.58,81.08,73.56,227.49,0
57.31,52.21,62.81,376.46,0
